# KCA UNIVERSITY SCHOOL OF TECHNOLOGY TIMETABLE (JANUARY – APRIL 2026)

*Prepared by: Charles B. Malungu, Timetable Coordinator – School of Technology*  
*Approved by: Dr. Paul Abuonji (CoD SD & IS), Dr. Simon Mwendia (Dean, School of Technology)*  
*Date: December 21–22, 2025*

---

## 1. Bachelor of Science in Software Development (BSD) - Full-Time Mode

### 1.1 BSD Year 1 Trimester 1 (FT 1.1)

| Day       | Time          | Room Type | Venue        | Unit Code | Unit Name                                |
| Thursday  | 1730-2030 HRS | PG        | ZOOM  | SEN 6201  | SYSTEM DYNAMICS MODELLING          | Prof. Lucy Mburu  |
| Friday    | 1730-2030 HRS | PG        | ZOOM  | CSN 6202  | WIRELESS TECHNOLOGIES              | Dr. Paul Abuonji  |
| Saturday  | 0800-1100 HRS | PG        | ZOOM  | DBS 6201  | DATA MINING AND DATA WAREHOUSING   | Dr. Kaimenyi      |
| Saturday  | 1100-1400 HRS | PG        | ZOOM  | ISS 6201  | DECISION SUPPORT SYSTEMS           | Dr. Rachael Kibuku|
| Saturday  | 1500-1800 HRS | PG        | ZOOM  | CSN 6203  | INFORMATION SYSTEMS SECURITY       | Dr. Paul Abuonji  |

### 3.3 MSc in Information Systems Management (MISM) Year 2 Trimester 1

| Day       | Time          | Room Type | Venue | Unit Code | Unit Name                                      | Lecturer          |
|-----------|---------------|-----------|-------|-----------|------------------------------------------------|-------------------|
| Thursday  | 1730-2030 HRS | PG        | ZOOM  | STU 7101  | RESEARCH METHODOLOGY                           | Dr. Rachael Kibuku|
| Friday    | 1730-2030 HRS | PG        | ZOOM  | CSN 7101  | CYBER SECURITY AND FORENSICS                   | Dr. Paul Abuonji  |
| Saturday  | 0800-1100 HRS | PG        | ZOOM  | DSA 7101  | DATA ANALYTICS AND KNOWLEDGE ENGINEERING       | Dr. Rufus Gikera  |
| Saturday  | 1100-1400 HRS | PG        | ZOOM  | ISS 7102  | STRATEGIC MANAGEMENT INFORMATION SYSTEMS       | Dr. Joy Kibor     |
| Saturday  | 1500-1800 HRS | PG        | ZOOM  | ISS 7101  | ICT POLICY                                     | Dr. Rachael Kibuku|

### 3.4 PhD in Information Systems (Year 1 Trimester 1)

| Day       | Time          | Room Type | Venue | Unit Code | Unit Name                                                  | Lecturer          |
|-----------|---------------|-----------|-------|-----------|------------------------------------------------------------|-------------------|
| Monday    | 1730-2030 HRS | PG        | ZOOM  | STU 8201  | RESEARCH AND INNOVATION DESIGN WORKSHOPS                   | Dr. Rachael Kibuku|
| Thursday  | 1730-2030 HRS | PG        | ZOOM  | ISS 8201  | ADVANCES IN EMERGING BUSINESS APPLICATIONS AND TECHNOLOGY  | Prof. Lucy Mburu  |
| Friday    | 1730-2030 HRS | PG        | ZOOM  | ISS 8202  | PROBLEM SOLVING PARADIGMS IN INFORMATION SYSTEMS           | Dr. Simon Mwendia |

---

## 4. Diploma & Certificate Programs

### 4.1 Diploma in Information Technology (DIT) - Main Campus Full-Time Trimester 1

| Day       | Time          | Room Type | Venue        | Unit Code | Unit Name                              |
|-----------|---------------|-----------|--------------|-----------|----------------------------------------|
| Monday    | 1100-1400 HRS | LAB       | TC 2-3-1     | CDU 302   | FUNDAMENTALS OF COMPUTER SYSTEMS       |
| Monday    | 1100-1400 HRS | LAB       | TC 0-1/0-2   | CDU 302   | FUNDAMENTALS OF COMPUTER SYSTEMS       |
| Wednesday | 1100-1400 HRS | VIRTUAL   | ZOOM         | CDU 301   | COMMUNICATION SKILLS                   |
| Thursday  | 0800-1100 HRS | PHYSICAL  | TC 3-1       | STU 301   | COMPUTING MATHEMATICS                  |
| Thursday  | 0800-1100 HRS | PHYSICAL  | TC 3-1       | STU 301   | COMPUTING MATHEMATICS                  |
| Thursday  | 1100-1400 HRS | PHYSICAL  | TC 3-8       | STU 302   | COMPUTER ORGANIZATION & ARCHITECTURE   |
| Thursday  | 1100-1400 HRS | PHYSICAL  | TC 3-4       | STU 302   | COMPUTER ORGANIZATION & ARCHITECTURE   |
| Friday    | 0800-1100 HRS | VIRTUAL   | ZOOM         | MGT 101   | PRINCIPLES OF MANAGEMENT               |

### 4.2 Certificate in Information Technology (CIT) - Main Campus Trimester 1

| Day       | Time          | Room Type | Venue        | Unit Code | Unit Name                                      |
|-----------|---------------|-----------|--------------|-----------|------------------------------------------------|
| Monday    | 1400-1700 HRS | LAB       | TC 2-3-2     | STU 101   | INTERNET AND THE WEB                           |
| Tuesday   | 0800-1100 HRS | PHYSICAL  | TC 2-3-3     | ISS 102   | FOUNDATION PHYSICS AND ELECTRICITY FOR IT      |
| Tuesday   | 1100-1400 HRS | VIRTUAL   | ZOOM         | ISS 103   | INTRODUCTION TO INFORMATION SYSTEMS            |
| Wednesday | 1100-1400 HRS | VIRTUAL   | ZOOM         | MKT 401   | CUSTOMER RELATIONSHIP MARKETING                |
| Wednesday | 1400-1700 HRS | VIRTUAL   | ZOOM         | ISS 101   | COMPUTERS AND SOCIETY                          |

### 4.3 Certificate in Information Technology (CIT) - Main Campus Trimester 2

| Day       | Time          | Room Type | Venue        | Unit Code | Unit Name                              |
|-----------|---------------|-----------|--------------|-----------|----------------------------------------|
| Wednesday | 1100-1400 HRS | VIRTUAL   | ZOOM         | CDU 301   | COMMUNICATION SKILLS                   |
| Friday    | 0800-1100 HRS | VIRTUAL   | ZOOM         | MGT 101   | PRINCIPLES OF MANAGEMENT               |
| Thursday  | 0800-1100 HRS | PHYSICAL  | TC 3-1       | STU 301   | COMPUTING MATHEMATICS                  |
| Thursday  | 1100-1400 HRS | PHYSICAL  | TC 3-5       | STU 302   | COMPUTER ORGANIZATION & ARCHITECTURE   |
| Monday    | 1100-1400 HRS | LAB       | TC 0-3       | CDU 302   | FUNDAMENTALS OF COMPUTER SYSTEMS       |

---

## Appendix: Key Reference Tables

### Room Type Codes
| Code      | Description                     |
|-----------|---------------------------------|
| PHYSICAL  | Physical classroom/lecture hall |
| LAB       | Computer laboratory             |
| VIRTUAL   | Online session (Zoom)           |
| PG        | Postgraduate session            |

### Venue Codes
| Code        | Location Description                     |
|-------------|------------------------------------------|
| TC X-Y      | Teaching Complex, Room X-Y               |
| LT X-Y      | Lecture Theatre X-Y                      |
